

 Enter MINRES-QLP.      Solution of Hermitian   Ax = b
 n        =     35      checkA   =   T          precon   =   F
 itnlim   =    140      rtol     =   2.22E-16   shift    =   0.00000000000000E+00
 maxxnorm =   1.00E+07  Acondlim =   1.00E+15   trancond =   1.00E+07


    iter         x(1)                           xnorm     rnorm     Arnorm   Compatible   LS      norm(A)   cond(A)
     103  -1.2033437928E-02   2.3368010376E-03  2.01E-01  5.95E-11  1.15E-11  3.25E-11  2.20E-02  8.80E+00  5.66E+03  
     104  -1.2033437928E-02   2.3368010614E-03  2.01E-01  5.94E-11  7.28E-12  3.24E-11  1.39E-02  8.80E+00  8.10E+03  
     105  -1.2033437924E-02   2.3368013428E-03  2.01E-01  5.82E-11  6.05E-12  3.18E-11  1.18E-02  8.80E+00  5.66E+03  
     106  -1.2033437916E-02   2.3368016884E-03  2.01E-01  5.68E-11  6.00E-12  3.10E-11  1.20E-02  8.80E+00  8.10E+03  
     107  -1.2033437801E-02   2.3368043974E-03  2.01E-01  4.56E-11  5.31E-11  2.49E-11  1.32E-01  8.80E+00  5.66E+03  
     108  -1.2033437761E-02   2.3368053953E-03  2.01E-01  4.07E-11  1.10E-10  2.22E-11  3.06E-01  8.80E+00  8.10E+03  
     109  -1.2033437716E-02   2.3368065448E-03  2.01E-01  3.42E-11  5.46E-12  1.86E-11  1.82E-02  8.80E+00  5.66E+03  

     110  -1.2033437697E-02   2.3368071034E-03  2.01E-01  3.06E-11  8.53E-12  1.67E-11  3.17E-02  8.80E+00  8.10E+03  
     111  -1.2033437667E-02   2.3368081063E-03  2.01E-01  2.27E-11  3.30E-12  1.24E-11  1.65E-02  8.80E+00  5.66E+03  
     112  -1.2033437667E-02   2.3368081175E-03  2.01E-01  2.26E-11  5.62E-12  1.23E-11  2.82E-02  8.80E+00  8.10E+03  
     113  -1.2033437686E-02   2.3368084720E-03  2.01E-01  1.91E-11  7.45E-12  1.04E-11  4.44E-02  8.80E+00  5.66E+03  
     114  -1.2033437689E-02   2.3368085201E-03  2.01E-01  1.86E-11  2.12E-12  1.01E-11  1.30E-02  8.80E+00  8.10E+03  
     115  -1.2033437820E-02   2.3368093702E-03  2.01E-01  9.46E-13  6.22E-13  5.17E-13  7.47E-02  8.80E+00  5.66E+03  
     116  -1.2033437820E-02   2.3368093702E-03  2.01E-01  9.37E-13  7.70E-14  5.12E-13  9.35E-03  8.80E+00  8.10E+03  
     117  -1.2033437820E-02   2.3368093702E-03  2.01E-01  9.35E-13  4.66E-13  5.10E-13  5.66E-02  8.80E+00  5.66E+03  
     118  -1.2033437825E-02   2.3368093691E-03  2.01E-01  9.07E-13  9.73E-14  4.95E-13  1.22E-02  8.80E+00  8.10E+03  
     119  -1.2033437832E-02   2.3368093676E-03  2.01E-01  8.73E-13  8.45E-14  4.77E-13  1.10E-02  8.80E+00  5.66E+03  

     120  -1.2033437833E-02   2.3368093672E-03  2.01E-01  8.67E-13  7.37E-14  4.74E-13  9.66E-03  8.80E+00  8.10E+03  
     121  -1.2033437837E-02   2.3368093662E-03  2.01E-01  8.57E-13  1.76E-13  4.68E-13  2.34E-02  8.80E+00  5.66E+03  
     122  -1.2033437855E-02   2.3368093618E-03  2.01E-01  8.11E-13  7.43E-14  4.43E-13  1.04E-02  8.80E+00  8.10E+03  
     123  -1.2033438009E-02   2.3368093226E-03  2.01E-01  1.97E-13  1.56E-13  1.08E-13  9.01E-02  8.80E+00  5.66E+03  
     124  -1.2033438010E-02   2.3368093225E-03  2.01E-01  1.90E-13  6.08E-14  1.04E-13  3.63E-02  8.80E+00  8.10E+03  
     125  -1.2033438013E-02   2.3368093218E-03  2.01E-01  1.63E-13  3.02E-14  8.93E-14  2.10E-02  8.80E+00  5.66E+03  
     126  -1.2033438017E-02   2.3368093207E-03  2.01E-01  9.31E-14  5.69E-13  5.08E-14  6.95E-01  8.80E+00  8.10E+03  
     127  -1.2033438019E-02   2.3368093203E-03  2.01E-01  4.76E-14  8.76E-14  2.60E-14  2.09E-01  8.80E+00  5.66E+03  
     128  -1.2033438019E-02   2.3368093201E-03  2.01E-01  4.67E-15  2.84E-15  2.55E-15  6.90E-02  8.80E+00  8.10E+03  
     129  -1.2033438019E-02   2.3368093201E-03  2.01E-01  4.61E-15  8.99E-16  2.52E-15  2.22E-02  8.80E+00  5.66E+03  

     130  -1.2033438019E-02   2.3368093201E-03  2.01E-01  4.51E-15  9.14E-16  2.46E-15  2.31E-02  8.80E+00  8.10E+03  
     131  -1.2033438019E-02   2.3368093201E-03  2.01E-01  4.22E-15  2.48E-15  2.30E-15  6.68E-02  8.80E+00  5.66E+03  
     132  -1.2033438019E-02   2.3368093202E-03  2.01E-01  2.63E-15  2.09E-16  1.44E-15  9.02E-03  8.80E+00  8.10E+03  
