

 Enter MINRES-QLP.      Solution of symmetric   Ax = b
 n        =    240      ||b||    =   1.11E+00   precon   =   F
 itnlim   =    960      rtol     =   2.22E-16   shift    =   0.00000000000000E+00
 maxxnorm =   1.00E+07  Acondlim =   1.00E+15   trancond =   1.00E+07


    iter   x(1)              xnorm     rnorm     Arnorm   Compatible   LS      norm(A)   cond(A)
     949  -5.0880730518E-02  2.96E+00  9.78E-07  2.05E-08  2.06E-08  1.34E-03  1.57E+01  9.17E+05  

     950  -5.0881412152E-02  2.96E+00  9.77E-07  1.35E-07  2.06E-08  8.81E-03  1.57E+01  1.39E+06  
     951  -5.0882814640E-02  2.96E+00  9.77E-07  2.29E-08  2.06E-08  1.50E-03  1.57E+01  9.17E+05  
     952  -5.0885618200E-02  2.96E+00  9.75E-07  7.79E-09  2.05E-08  5.10E-04  1.57E+01  1.39E+06  
     953  -5.0886929075E-02  2.96E+00  9.75E-07  1.12E-07  2.05E-08  7.34E-03  1.57E+01  9.17E+05  
     954  -5.0887666575E-02  2.96E+00  9.74E-07  2.55E-08  2.05E-08  1.67E-03  1.57E+01  1.39E+06  
     955  -5.0888413124E-02  2.96E+00  9.74E-07  2.16E-07  2.05E-08  1.42E-02  1.57E+01  9.17E+05  
     956  -5.0890935193E-02  2.96E+00  9.72E-07  4.33E-07  2.05E-08  2.85E-02  1.57E+01  1.39E+06  
     957  -5.0892623504E-02  2.96E+00  9.72E-07  5.99E-08  2.05E-08  3.94E-03  1.57E+01  9.17E+05  
     958  -5.0901099229E-02  2.96E+00  9.67E-07  1.35E-07  2.04E-08  8.93E-03  1.57E+01  1.39E+06  
     959  -5.0905060434E-02  2.96E+00  9.65E-07  1.69E-07  2.03E-08  1.12E-02  1.57E+01  9.17E+05  

     960  -5.0917091056E-02  2.96E+00  9.58E-07  4.98E-08  2.02E-08  3.32E-03  1.57E+01  1.39E+06  

 Exit  MINRES-QLP.       istop =  8              itn    =     960
 Exit  MINRES-QLP.       Anorm =  1.5656E+01     Acond  =  1.3936E+06
 Exit  MINRES-QLP.       rnorm =  9.5844E-07     Arnorm =  4.9818E-08
 Exit  MINRES-QLP.       xnorm =  2.9643E+00
 Exit  MINRES-QLP.       The iteration limit was reached.                                 
