

 Enter MINRES-QLP.      Solution of Hermitian   Ax = b
 n        =    230      checkA   =   T          precon   =   F
 itnlim   =    920      rtol     =   2.22E-16   shift    =   0.00000000000000E+00
 maxxnorm =   1.00E+07  Acondlim =   1.00E+15   trancond =   1.00E+07


    iter         x(1)                           xnorm     rnorm     Arnorm   Compatible   LS      norm(A)   cond(A)
     750   7.3513329117E-02  -4.5575621785E-01  5.19E+00  4.94E-05  5.40E-05  1.02E-08  1.17E-03  9.33E+02  4.18E+05  
     760   7.2500021574E-02  -4.5559497911E-01  5.20E+00  4.70E-05  5.75E-05  9.69E-09  1.31E-03  9.33E+02  4.18E+05  
     770   7.1126820718E-02  -4.5536947625E-01  5.20E+00  4.38E-05  1.79E-04  9.03E-09  4.38E-03  9.33E+02  4.18E+05  
     780   7.0056933313E-02  -4.5518895793E-01  5.20E+00  4.13E-05  2.10E-04  8.51E-09  5.45E-03  9.33E+02  4.18E+05  
     790   6.8692613468E-02  -4.5494939848E-01  5.20E+00  3.82E-05  3.87E-04  7.87E-09  1.09E-02  9.33E+02  4.18E+05  
     800   6.7126260321E-02  -4.5466068299E-01  5.20E+00  3.47E-05  1.11E-05  7.15E-09  3.42E-04  9.33E+02  4.18E+05  
     810   6.6270725367E-02  -4.5449925757E-01  5.20E+00  3.28E-05  8.05E-05  6.76E-09  2.63E-03  9.33E+02  4.18E+05  
     820   6.5018718119E-02  -4.5426296240E-01  5.21E+00  3.00E-05  1.21E-04  6.17E-09  4.32E-03  9.33E+02  4.18E+05  
     830   6.4112913518E-02  -4.5409551070E-01  5.21E+00  2.79E-05  6.35E-05  5.74E-09  2.44E-03  9.33E+02  4.18E+05  
     840   6.3068551615E-02  -4.5390718290E-01  5.21E+00  2.56E-05  4.36E-05  5.26E-09  1.83E-03  9.33E+02  4.18E+05  
     850   6.2639608284E-02  -4.5383080213E-01  5.21E+00  2.46E-05  9.40E-04  5.06E-09  4.10E-02  9.33E+02  4.18E+05  
     860   6.2160585810E-02  -4.5374525012E-01  5.21E+00  2.35E-05  2.07E-04  4.84E-09  9.41E-03  9.33E+02  4.18E+05  
     870   6.1329257078E-02  -4.5359482450E-01  5.21E+00  2.17E-05  7.53E-05  4.45E-09  3.73E-03  9.33E+02  4.18E+05  
     880   6.0757719898E-02  -4.5349160017E-01  5.21E+00  2.04E-05  1.94E-05  4.18E-09  1.02E-03  9.33E+02  4.18E+05  
     890   6.0058728479E-02  -4.5337046432E-01  5.21E+00  1.88E-05  2.25E-05  3.87E-09  1.28E-03  9.33E+02  4.18E+05  
